,,,,
,Cumulative Gt CO2,,,
,RESPONSIBILITY,CAPABILITY,EQUALITY,MULTICRITERIA
AUT,9.94,17.32,0.58,6.99
BEL,15.93,14.54,0.86,7.11
BGR,5.70,4.11,0.33,2.22
CYP,3.82,7.07,0.09,2.74
CZE,17.91,8.29,0.65,5.35
DEU,15.00,17.17,5.15,10.18
DNK,9.65,18.80,0.44,7.33
ESP,4.38,13.45,2.77,6.27
EST,28.94,7.17,0.07,6.19
FIN,7.67,15.75,0.41,6.10
FRA,9.24,14.03,4.86,8.27
GBR,18.98,11.93,5.25,9.17
GRC,4.73,12.92,0.61,4.95
HUN,5.85,6.63,0.51,3.12
IRL,6.28,14.06,0.41,5.40
ITA,5.34,15.71,3.51,7.50
LTU,4.89,6.45,0.15,2.73
LUX,27.25,23.22,0.06,10.87
LVA,3.94,6.69,0.09,2.64
MLT,3.05,8.43,0.03,3.02
NLD,12.05,18.58,1.16,7.99
POL,9.65,6.62,1.92,4.41
PRT,3.28,11.44,0.55,4.26
ROU,4.61,4.41,1.00,2.54
HRV,3.11,7.42,0.21,2.82
SVK,8.77,7.61,0.31,3.70
SVN,4.92,10.13,0.12,3.85
SWE,10.61,15.15,0.83,6.56
